rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
187,frame_0119.jpg,47.6,0.3565,0.296,0.375,0.48,4,3,False,False
188,frame_0282.jpg,112.8,0.3527,0.3633,0.25,0.48,6,2,False,False
189,frame_0101.jpg,40.4,0.3508,0.4446,0.375,0.08,6,3,False,False
190,frame_0399.jpg,159.6,0.3508,0.4396,0.25,0.28,5,2,False,False
191,frame_0373.jpg,149.2,0.3437,0.4734,0.25,0.16,6,2,False,False
192,frame_0097.jpg,38.8,0.3434,0.4298,0.375,0.08,6,3,False,False
193,frame_0221.jpg,88.4,0.3424,0.3639,0.375,0.24,5,3,False,False
194,frame_0228.jpg,91.2,0.3424,0.4438,0.375,0.04,5,3,False,False
195,frame_0192.jpg,76.8,0.3409,0.3768,0.375,0.2,6,3,False,False
196,frame_0084.jpg,33.6,0.34,0.3651,0.125,0.6,3,1,False,False
197,frame_0086.jpg,34.4,0.3397,0.3214,0.25,0.52,5,2,False,False
198,frame_0179.jpg,71.6,0.3395,0.4059,0.375,0.12,9,3,False,False
199,frame_0205.jpg,82.0,0.3377,0.3124,0.125,0.72,2,1,False,False
200,frame_0393.jpg,157.2,0.3368,0.5076,0.25,0.04,3,2,False,False
201,frame_0189.jpg,75.6,0.3362,0.4903,0.25,0.08,3,2,False,False
202,frame_0219.jpg,87.6,0.3349,0.3168,0.375,0.32,5,3,False,False
203,frame_0320.jpg,128.0,0.3334,0.4208,0.25,0.24,6,2,False,False
204,frame_0180.jpg,72.0,0.3308,0.4047,0.375,0.08,7,3,False,False
205,frame_0382.jpg,152.8,0.3291,0.4012,0.375,0.08,8,3,False,False
206,frame_0108.jpg,43.2,0.3254,0.4097,0.375,0.04,9,3,False,False
207,frame_0188.jpg,75.2,0.3234,0.4057,0.375,0.04,9,3,False,False
208,frame_0085.jpg,34.0,0.3221,0.3452,0.125,0.56,3,1,False,False
209,frame_0094.jpg,37.6,0.3212,0.4124,0.25,0.2,5,2,False,False
210,frame_0111.jpg,44.4,0.3188,0.4987,0.125,0.16,4,1,False,False
211,frame_0208.jpg,83.2,0.3179,0.2568,0.125,0.76,4,1,False,False
212,frame_0224.jpg,89.6,0.3172,0.5114,0.125,0.12,6,1,False,False
213,frame_0194.jpg,77.6,0.316,0.3699,0.25,0.28,6,2,False,False
214,frame_0223.jpg,89.2,0.3145,0.4151,0.25,0.16,5,2,False,False
215,frame_0201.jpg,80.4,0.3126,0.3263,0.125,0.56,3,1,False,False
216,frame_0269.jpg,107.6,0.3123,0.4586,0.25,0.04,6,2,False,False
217,frame_0272.jpg,108.8,0.3116,0.5163,0.125,0.08,3,1,False,False
218,frame_0172.jpg,68.8,0.3108,0.3116,0.25,0.4,6,2,False,False
219,frame_0308.jpg,123.2,0.3105,0.407,0.25,0.16,7,2,False,False
220,frame_0171.jpg,68.4,0.3099,0.2938,0.25,0.44,6,2,False,False
221,frame_0381.jpg,152.4,0.3096,0.3782,0.375,0.04,6,3,False,False
222,frame_0109.jpg,43.6,0.3093,0.3615,0.375,0.08,7,3,False,False
223,frame_0313.jpg,125.2,0.309,0.452,0.25,0.04,4,2,False,False
